transaction_id,card_id,timestamp,amount,merchant_category,country,card_present,is_fraud
txn_0000000,card_00062,2026-01-26T01:43:25Z,18.87,pharmacy,US,False,False
txn_0000001,card_00057,2026-01-03T12:03:54Z,134.53,fuel,US,True,False
txn_0000002,card_00573,2026-01-25T11:39:00Z,33.35,pharmacy,AE,False,False
txn_0000003,card_00042,2026-01-19T19:21:44Z,231.47,pharmacy,GB,True,False
txn_0000004,card_00243,2026-01-06T04:57:08Z,12.86,travel,DE,True,False
txn_0000005,card_00260,2026-01-06T04:40:50Z,31.56,restaurant,IN,True,False
txn_0000006,card_00295,2026-01-02T21:17:58Z,36.12,grocery,AE,True,False
txn_0000007,card_00505,2026-01-23T06:00:59Z,10.38,atm_withdrawal,GB,True,False
txn_0000008,card_00848,2026-01-04T22:44:41Z,9.9,pharmacy,AE,True,False
txn_0000009,card_00615,2026-01-28T18:18:56Z,335.31,electronics,AE,True,False
txn_0000010,card_00442,2026-01-29T11:33:17Z,163.5,restaurant,US,False,False
txn_0000011,card_00810,2026-01-25T09:02:17Z,679.39,utilities,IN,True,False
txn_0000012,card_00161,2026-01-09T02:04:14Z,8.5,online_retail,AE,False,False
txn_0000013,card_00641,2026-01-19T12:55:41Z,14.34,restaurant,GB,True,False
txn_0000014,card_00562,2026-01-05T13:29:49Z,87.78,grocery,AE,True,False
txn_0000015,card_00422,2026-01-07T14:26:06Z,52.08,entertainment,DE,True,False
txn_0000016,card_00200,2026-01-12T13:15:54Z,17.27,restaurant,GB,True,False
txn_0000017,card_00151,2026-01-29T12:56:26Z,271.77,entertainment,US,True,False
txn_0000018,card_00009,2026-01-23T14:28:06Z,315.21,online_retail,AE,False,False
txn_0000019,card_00485,2026-01-11T08:15:34Z,72.77,travel,GB,False,False
txn_0000020,card_00762,2026-01-02T09:25:29Z,59.19,utilities,SG,True,False
txn_0000021,card_00785,2026-01-05T11:20:57Z,25.48,restaurant,IN,True,False
txn_0000022,card_00549,2026-01-01T13:25:58Z,390.78,utilities,AE,False,False
txn_0000023,card_00707,2026-01-13T20:34:07Z,63.4,fuel,GB,False,False
txn_0000024,card_00769,2026-01-03T05:20:54Z,20.06,entertainment,US,True,False
txn_0000025,card_00747,2026-01-13T23:21:48Z,67.39,online_retail,IN,False,False
txn_0000026,card_00724,2026-01-26T21:21:46Z,125.86,restaurant,DE,False,False
txn_0000027,card_00185,2026-01-12T23:41:28Z,30.2,fuel,IN,False,False
txn_0000028,card_00531,2026-01-13T13:42:00Z,13.45,fuel,GB,False,False
txn_0000029,card_00135,2026-01-04T14:23:39Z,180.8,restaurant,US,False,False
txn_0000030,card_00609,2026-01-21T15:22:34Z,28.16,restaurant,SG,True,False
txn_0000031,card_00108,2026-01-01T05:16:35Z,95.35,grocery,SG,False,False
txn_0000032,card_00380,2026-01-08T17:32:17Z,25.58,pharmacy,US,True,False
txn_0000033,card_00084,2026-01-16T13:20:28Z,906.47,pharmacy,DE,False,False
txn_0000034,card_00342,2026-01-16T21:32:27Z,65.29,online_retail,GB,True,False
txn_0000035,card_00706,2026-01-22T08:13:25Z,69.0,online_retail,DE,True,False
txn_0000036,card_00262,2026-01-28T20:59:32Z,7.83,fuel,SG,True,False
txn_0000037,card_00372,2026-01-09T12:23:50Z,50.09,electronics,DE,True,False
txn_0000038,card_00178,2026-01-01T11:04:04Z,94.69,utilities,AE,False,False
txn_0000039,card_00294,2026-01-16T00:33:38Z,43.76,online_retail,IN,False,False
