transaction_id,card_id,timestamp,merchant_category,card_present,is_fraud,device_fingerprint,country_code,amount_minor_units
txn_0000500,card_00674,2026-01-14T18:56:10Z,travel,True,False,dev_002832,IN,1391
txn_0000501,card_00449,2026-01-19T13:40:52Z,electronics,False,False,dev_001401,DE,1460
txn_0000502,card_00768,2026-01-22T22:52:04Z,travel,True,False,dev_000781,GB,1498
txn_0000503,card_00031,2026-01-27T10:11:53Z,fuel,True,False,dev_002235,DE,975
txn_0000504,card_00274,2026-01-03T11:41:08Z,travel,False,False,dev_003176,US,5691
txn_0000505,card_00755,2026-01-07T14:47:14Z,atm_withdrawal,True,False,dev_004421,DE,2951
txn_0000506,card_00772,2026-01-16T02:52:04Z,fuel,True,False,dev_001088,IN,3969
txn_0000507,card_00266,2026-01-30T23:42:56Z,entertainment,True,False,dev_002114,IN,1062
txn_0000508,card_00421,2026-01-29T18:15:18Z,utilities,True,False,dev_001004,SG,15131
txn_0000509,card_00893,2026-01-24T15:15:10Z,restaurant,True,False,dev_001345,SG,4866
txn_0000510,card_00518,2026-01-07T10:23:39Z,atm_withdrawal,True,False,dev_003871,IN,4132
txn_0000511,card_00682,2026-01-08T16:30:43Z,entertainment,True,False,dev_004180,DE,2411
txn_0000512,card_00892,2026-01-22T03:57:37Z,electronics,True,False,dev_004015,SG,1964
txn_0000513,card_00128,2026-01-11T12:02:36Z,utilities,True,False,dev_000481,SG,5455
txn_0000514,card_00064,2026-01-20T08:31:52Z,restaurant,True,False,dev_003721,SG,7379
txn_0000515,card_00176,2026-01-11T02:08:53Z,online_retail,False,False,dev_004482,SG,395
txn_0000516,card_00120,2026-01-24T09:11:00Z,atm_withdrawal,True,False,dev_004563,IN,1791
txn_0000517,card_00863,2026-01-19T12:07:40Z,grocery,False,False,dev_000748,AE,12528
txn_0000518,card_00128,2026-01-22T19:35:22Z,online_retail,True,False,dev_000420,GB,11540
txn_0000519,card_00824,2026-01-29T03:40:08Z,online_retail,False,False,dev_001897,SG,34286
txn_0000520,card_00298,2026-01-16T22:06:13Z,electronics,False,False,dev_000237,SG,7065
txn_0000521,card_00873,2026-01-22T07:10:37Z,pharmacy,True,False,dev_002115,US,4447
txn_0000522,card_00343,2026-01-08T23:53:31Z,restaurant,False,False,dev_003538,IN,15607
txn_0000523,card_00407,2026-01-06T09:02:36Z,utilities,True,False,dev_001753,US,4988
txn_0000524,card_00347,2026-01-08T23:36:09Z,restaurant,True,False,dev_004094,US,3776
txn_0000525,card_00057,2026-01-03T19:48:53Z,online_retail,False,False,dev_002591,SG,7864
txn_0000526,card_00829,2026-01-26T07:36:08Z,atm_withdrawal,False,True,dev_001655,AE,3551
txn_0000527,card_00870,2026-01-04T08:38:01Z,restaurant,True,False,dev_004071,SG,5624
txn_0000528,card_00653,2026-01-28T00:57:00Z,travel,True,False,dev_002428,IN,26968
txn_0000529,card_00335,2026-01-29T04:12:31Z,utilities,True,False,dev_002192,SG,5921
txn_0000530,card_00434,2026-01-06T08:17:39Z,electronics,False,False,dev_001423,GB,4382
txn_0000531,card_00053,2026-01-21T19:55:20Z,utilities,False,False,dev_001262,DE,5972
txn_0000532,card_00530,2026-01-28T14:37:26Z,atm_withdrawal,True,False,dev_002187,IN,4932
txn_0000533,card_00162,2026-01-22T18:43:05Z,pharmacy,True,True,dev_002742,DE,3088
txn_0000534,card_00436,2026-01-05T10:26:52Z,electronics,True,False,dev_002089,DE,6295
txn_0000535,card_00673,2026-01-14T09:31:53Z,entertainment,False,False,dev_003249,GB,4335
txn_0000536,card_00286,2026-01-23T20:41:26Z,pharmacy,True,False,dev_000108,IN,5465
